[2025-01-19 05:35:34,637: INFO: setup: all requirements.txt is installed]
[2025-01-19 05:36:01,498: INFO: setup: all requirements.txt is installed]
[2025-01-19 05:36:01,505: INFO: dist: running install]
[2025-01-19 05:36:01,696: INFO: dist: running bdist_egg]
[2025-01-19 05:36:01,699: INFO: dist: running egg_info]
[2025-01-19 05:36:01,700: INFO: dir_util: creating NetworkSecurity.egg-info]
[2025-01-19 05:36:01,700: INFO: egg_info: writing NetworkSecurity.egg-info/PKG-INFO]
[2025-01-19 05:36:01,700: INFO: egg_info: writing dependency_links to NetworkSecurity.egg-info/dependency_links.txt]
[2025-01-19 05:36:01,700: INFO: egg_info: writing requirements to NetworkSecurity.egg-info/requires.txt]
[2025-01-19 05:36:01,701: INFO: egg_info: writing top-level names to NetworkSecurity.egg-info/top_level.txt]
[2025-01-19 05:36:01,701: INFO: util: writing manifest file 'NetworkSecurity.egg-info/SOURCES.txt']
[2025-01-19 05:36:01,702: INFO: sdist: reading manifest file 'NetworkSecurity.egg-info/SOURCES.txt']
[2025-01-19 05:36:01,702: INFO: util: writing manifest file 'NetworkSecurity.egg-info/SOURCES.txt']
[2025-01-19 05:36:01,702: INFO: bdist_egg: installing library code to build/bdist.macosx-11.0-arm64/egg]
[2025-01-19 05:36:01,702: INFO: dist: running install_lib]
[2025-01-19 05:36:01,702: WARNING: cmd: warning: install_lib: 'build/lib' does not exist -- no Python modules to install
]
[2025-01-19 05:36:01,702: INFO: dir_util: creating build/bdist.macosx-11.0-arm64/egg/EGG-INFO]
[2025-01-19 05:36:01,703: INFO: file_util: copying NetworkSecurity.egg-info/PKG-INFO -> build/bdist.macosx-11.0-arm64/egg/EGG-INFO]
[2025-01-19 05:36:01,703: INFO: file_util: copying NetworkSecurity.egg-info/SOURCES.txt -> build/bdist.macosx-11.0-arm64/egg/EGG-INFO]
[2025-01-19 05:36:01,703: INFO: file_util: copying NetworkSecurity.egg-info/dependency_links.txt -> build/bdist.macosx-11.0-arm64/egg/EGG-INFO]
[2025-01-19 05:36:01,703: INFO: file_util: copying NetworkSecurity.egg-info/requires.txt -> build/bdist.macosx-11.0-arm64/egg/EGG-INFO]
[2025-01-19 05:36:01,703: INFO: file_util: copying NetworkSecurity.egg-info/top_level.txt -> build/bdist.macosx-11.0-arm64/egg/EGG-INFO]
[2025-01-19 05:36:01,704: WARNING: bdist_egg: zip_safe flag not set; analyzing archive contents...]
[2025-01-19 05:36:01,704: INFO: dir_util: creating dist]
[2025-01-19 05:36:01,704: INFO: bdist_egg: creating 'dist/NetworkSecurity-0.0.1-py3.12.egg' and adding 'build/bdist.macosx-11.0-arm64/egg' to it]
[2025-01-19 05:36:01,705: INFO: dir_util: removing 'build/bdist.macosx-11.0-arm64/egg' (and everything under it)]
[2025-01-19 05:36:01,706: INFO: easy_install: Processing NetworkSecurity-0.0.1-py3.12.egg]
[2025-01-19 05:36:01,707: INFO: util: Copying NetworkSecurity-0.0.1-py3.12.egg to /Users/suyash/Desktop/Intent-classification-/venv/lib/python3.12/site-packages]
[2025-01-19 05:36:01,708: INFO: easy_install: Adding NetworkSecurity 0.0.1 to easy-install.pth file]
[2025-01-19 05:36:01,708: INFO: easy_install: 
Installed /Users/suyash/Desktop/Intent-classification-/venv/lib/python3.12/site-packages/NetworkSecurity-0.0.1-py3.12.egg]
[2025-01-19 05:36:01,709: INFO: easy_install: Processing dependencies for NetworkSecurity==0.0.1]
[2025-01-19 05:36:01,709: INFO: package_index: Searching for scipy==1.9.3]
[2025-01-19 05:36:01,709: INFO: package_index: Reading https://pypi.org/simple/scipy/]
[2025-01-19 05:36:02,391: INFO: package_index: Downloading https://files.pythonhosted.org/packages/0a/2e/44795c6398e24e45fa0bb61c3e98de1cfea567b1b51efd3751e2f7ff9720/scipy-1.9.3.tar.gz#sha256=fbc5c05c85c1a02be77b1ff591087c83bc44579c6d2bd9fb798bb64ea5e1a027]
